package,old,new,delta
additive,0.0.2,0.0.3,*
cli,3.0.1,3.0.1,
cpp11,0.3.1,0.3.1,
crayon,1.4.1,1.4.1,
dplyr,1.0.7,1.0.7,
ellipsis,0.3.2,0.3.2,
fansi,0.5.0,0.5.0,
generics,0.1.0,0.1.0,
globals,0.14.0,0.14.0,
glue,1.4.2,1.4.2,
hardhat,0.1.6,0.1.6,
lifecycle,1.0.0,1.0.0,
magrittr,2.0.1,2.0.1,
parsnip,0.1.7,0.1.7,
pillar,1.6.2,1.6.2,
pkgconfig,2.0.3,2.0.3,
prettyunits,1.1.1,1.1.1,
purrr,0.3.4,0.3.4,
R6,2.5.0,2.5.0,
rlang,0.4.11,0.4.11,
tibble,3.1.3,3.1.3,
tidyr,1.1.3,1.1.3,
tidyselect,1.1.1,1.1.1,
utf8,1.2.2,1.2.2,
vctrs,0.3.8,0.3.8,
